number of acute-angled triangles:39
acute-angled triangles:
1  (14 ).	1.(872    ;    -98)	2.(78     ;      7)	3.(78     ;      3)
2  (34 ).	1.(872    ;    -98)	2.(2      ;      3)	3.(-1     ;    -34)
3  (37 ).	1.(872    ;    -98)	2.(2      ;      3)	3.(2      ;      2)
4  (39 ).	1.(872    ;    -98)	2.(2      ;      3)	3.(0.45   ;-12.973)
5  (42 ).	1.(872    ;    -98)	2.(-1     ;    -34)	3.(2      ;      2)
6  (44 ).	1.(872    ;    -98)	2.(-1     ;    -34)	3.(0.45   ;-12.973)
7  (53 ).	1.(872    ;    -98)	2.(2      ;      2)	3.(0.45   ;-12.973)
8  (59 ).	1.(0      ;      1)	2.(78     ;      7)	3.(78     ;      3)
9  (66 ).	1.(0      ;      1)	2.(-93    ; 0.9084)	3.(-1     ;    -34)
10 (73 ).	1.(0      ;      1)	2.(56     ;   0.45)	3.(-1     ;    -34)
11 (78 ).	1.(0      ;      1)	2.(56     ;   0.45)	3.(0.45   ;-12.973)
12 (82 ).	1.(0      ;      1)	2.(2      ;      3)	3.(2      ;      2)
13 (86 ).	1.(0      ;      1)	2.(-1     ;    -34)	3.(-23    ;    0.5)
14 (88 ).	1.(0      ;      1)	2.(-1     ;    -34)	3.(59     ;    -10)
15 (93 ).	1.(0      ;      1)	2.(78     ;      3)	3.(0.45   ;-12.973)
16 (103).	1.(78     ;      7)	2.(-93    ; 0.9084)	3.(78     ;      3)
17 (110).	1.(78     ;      7)	2.(56     ;   0.45)	3.(78     ;      3)
18 (116).	1.(78     ;      7)	2.(2      ;      3)	3.(78     ;      3)
19 (118).	1.(78     ;      7)	2.(2      ;      3)	3.(2      ;      2)
20 (126).	1.(78     ;      7)	2.(78     ;      3)	3.(-23    ;    0.5)
21 (127).	1.(78     ;      7)	2.(78     ;      3)	3.(2      ;      2)
22 (143).	1.(-93    ; 0.9084)	2.(2      ;      3)	3.(-1     ;    -34)
23 (146).	1.(-93    ; 0.9084)	2.(2      ;      3)	3.(2      ;      2)
24 (148).	1.(-93    ; 0.9084)	2.(2      ;      3)	3.(0.45   ;-12.973)
25 (151).	1.(-93    ; 0.9084)	2.(-1     ;    -34)	3.(2      ;      2)
26 (162).	1.(-93    ; 0.9084)	2.(2      ;      2)	3.(0.45   ;-12.973)
27 (167).	1.(56     ;   0.45)	2.(2      ;      3)	3.(2      ;      2)
28 (177).	1.(56     ;   0.45)	2.(78     ;      3)	3.(59     ;    -10)
29 (186).	1.(2      ;      3)	2.(-1     ;    -34)	3.(-23    ;    0.5)
30 (188).	1.(2      ;      3)	2.(-1     ;    -34)	3.(59     ;    -10)
31 (191).	1.(2      ;      3)	2.(78     ;      3)	3.(2      ;      2)
32 (194).	1.(2      ;      3)	2.(-23    ;    0.5)	3.(2      ;      2)
33 (196).	1.(2      ;      3)	2.(-23    ;    0.5)	3.(0.45   ;-12.973)
34 (197).	1.(2      ;      3)	2.(2      ;      2)	3.(59     ;    -10)
35 (199).	1.(2      ;      3)	2.(59     ;    -10)	3.(0.45   ;-12.973)
36 (204).	1.(-1     ;    -34)	2.(-23    ;    0.5)	3.(2      ;      2)
37 (207).	1.(-1     ;    -34)	2.(2      ;      2)	3.(59     ;    -10)
38 (217).	1.(-23    ;    0.5)	2.(2      ;      2)	3.(0.45   ;-12.973)
39 (219).	1.(2      ;      2)	2.(59     ;    -10)	3.(0.45   ;-12.973)
